seed,algorithm,timestep,regime,path_cost,latency,hops,packet_loss,bandwidth,reliability,congestion,tunneling_probability,energy,kappa
42,QT-APP without tunneling,22,Recovery,0.5548689748934286,317.99953169501225,4,0.5065602584589367,9.324224458638428,0.7440174383083178,0.6633588572986359,1.0,1.0,0.7099999999999995
42,QT-APP without tunneling,23,Stable,0.46707951617929444,273.239038812142,6,0.6290418274653007,11.304753994764326,0.7001530388098495,0.6631656894878969,1.0,0.99,0.7199999999999995
42,QT-APP without tunneling,24,Stable,0.4873333270653145,273.0718187075702,5,0.6280524479806224,9.553760491245177,0.6715183494731577,0.6349123550235724,1.0,1.0,0.6899999999999995
42,QT-APP without tunneling,25,Stable,0.4572211511227956,176.61204021977252,2,0.2891386821664822,14.82704525286093,0.7354925175280671,0.6141183850607966,1.0,1.0,0.6799999999999995
42,QT-APP without tunneling,26,Stable,0.460233941292061,176.38228728971274,4,0.4998345378756054,5.798627500090431,0.6612509539812825,0.6185178448078673,1.0,1.0,0.6499999999999995
42,QT-APP without tunneling,27,Stable,0.44653911735915397,171.23584542246377,2,0.2883132604381715,14.945028975425695,0.7287269144294765,0.5854334830918062,1.0,1.0,0.6399999999999995
42,QT-APP without tunneling,28,Stable,0.43926302583515,363.76157077791095,5,0.5346906877302526,10.891709208439192,0.7026625685850949,0.5825622529720911,1.0,0.99,0.6499999999999995
42,QT-APP without tunneling,29,Stable,0.45419034248271145,291.7586009698725,5,0.6511119154102387,16.535124853487044,0.7070058525933192,0.6143589470624627,1.0,1.0,0.5999999999999994
42,QT-APP without tunneling,30,Stable,0.5239746184652471,315.0557304585179,4,0.49917951584063525,8.651242691692538,0.7254204811896836,0.6763229264811783,1.0,1.0,0.5499999999999994
42,QT-APP without tunneling,31,Stable,0.4525669478026734,275.9151769360443,6,0.6481836004849016,11.464306884404651,0.699283002505798,0.6457723565004404,1.0,1.0,0.5399999999999994
42,QT-APP without tunneling,32,Stable,0.47764047477314375,281.7312091924898,6,0.6382804972947906,11.227176579797785,0.7016668408084566,0.6546500933895654,1.0,1.0,0.5099999999999993
42,QT-APP without tunneling,33,Stable,0.4530399294711539,372.7614395814798,5,0.5263866671499758,10.859373008248255,0.7204519392542595,0.5563367090950357,1.0,0.99,0.5199999999999994
42,QT-APP without tunneling,34,Stable,0.4507579448446052,299.6925922456844,5,0.6403900160723249,16.959172384250003,0.7125388767518166,0.5848826980967033,1.0,0.98,0.5299999999999994
42,QT-APP without tunneling,35,Stable,0.4846806306774205,322.6772114244415,5,0.5613730949280491,18.331205729038935,0.706677669903973,0.6748014509835796,1.0,1.0,0.4799999999999993
42,QT-APP without tunneling,36,Stable,0.5721786758677504,319.31550614987896,4,0.5358410078135989,8.074977249844974,0.7319104684557597,0.6529188482384454,1.0,1.0,0.42999999999999927
42,QT-APP without tunneling,37,Stable,0.441873801756483,367.25075502537544,5,0.5290886784710144,11.112040708042686,0.7237444590947908,0.5006806743928267,1.0,1.0,0.41999999999999926
42,QT-APP without tunneling,38,Stable,0.444438433962246,356.20772459684537,5,0.5213442183425444,10.985933189421893,0.7256288891376286,0.49535955336732373,1.0,1.0,0.38999999999999924
42,QT-APP without tunneling,39,Stable,0.503577234081321,183.73061484859159,4,0.5014394718406914,5.762008095828268,0.6624814716091586,0.5953402558367501,1.0,1.0,0.3399999999999992
43,Dijkstra,0,Normal,0.5909440928645754,197.5227787336303,4,0.26691239939814915,63.39904577176637,0.8231894834239344,0.4662737985978937,0.0,0.45,1.2
43,Dijkstra,1,Normal,0.5835820448750315,202.22760083526168,4,0.25994780660361294,63.83316977154197,0.8212626508305478,0.454943172785729,0.0,0.45,1.2
43,Dijkstra,2,Normal,0.5851689978691597,197.7571132802513,4,0.27108358515255293,65.81280833689432,0.8157739371785627,0.44606531606517463,0.0,0.45,1.2
43,Dijkstra,3,Normal,0.5635803681734666,196.1231904018643,4,0.2484711849026613,66.33491595741762,0.8098239342570758,0.4461947083350002,0.0,0.45,1.2
43,Dijkstra,4,Normal,0.5592378358992761,195.54700586258414,4,0.2472438281531908,66.75714160298281,0.8118226166396936,0.45492227368076527,0.0,0.45,1.2
43,Dijkstra,5,Normal,0.5811213739616099,192.33139251369033,4,0.2657493473105206,65.4720436523675,0.8155155235468688,0.47347738301305814,0.0,0.45,1.2
43,Dijkstra,6,Normal,0.5545369529014538,192.70069061508863,4,0.27102050657532784,55.27697214597659,0.8109656114054883,0.37494842361203407,0.0,0.45,1.2
43,Dijkstra,7,Normal,0.5705626509925923,193.14529135945668,4,0.2614280671095074,65.73635207835254,0.8220434165387428,0.4856686660567592,0.0,0.45,1.2
43,Dijkstra,8,Normal,0.552590872732099,191.00949598187987,4,0.2576939654873941,66.54226666912103,0.8267091709393476,0.49969011829432214,0.0,0.45,1.2
43,Dijkstra,9,Normal,0.5639845651272002,188.7498721370473,4,0.25975791919310875,65.92690198665763,0.825381466273628,0.5044103361040917,0.0,0.45,1.2
43,Dijkstra,10,Congestion,0.5680994822433549,232.88704457916106,4,0.35564279054842696,44.78073392413477,0.7796411425637209,0.7535857115280269,0.0,0.45,1.2
43,Dijkstra,11,Congestion,0.6261226821308532,297.5425894631327,4,0.4646046523469294,29.235420818014187,0.7161847626840694,0.9647447712425118,0.0,0.45,1.2
43,Dijkstra,12,Congestion,0.6293665397901265,367.30857059765106,4,0.5350133985811736,18.64490786363521,0.6533824818700653,1.0,0.0,0.45,1.2
43,Dijkstra,13,Congestion,0.6115363027122351,442.43756854428,4,0.5995666645576896,13.38511383579905,0.6065235048382321,1.0,0.0,0.45,1.2
43,Dijkstra,14,Congestion,0.410917244001327,543.2155919872994,4,0.6576321456173899,8.733394562350934,0.5506316859177276,1.0,0.0,0.45,1.2
43,Dijkstra,15,Post-congestion,0.6103395969524763,539.4374741987306,4,0.6608010668651503,8.856430325344254,0.5463707955623307,0.9883721189751786,0.0,0.45,1.2
43,Dijkstra,16,Post-congestion,0.6171444678391643,546.538736299157,4,0.661299275624821,8.762150533839367,0.5424706483078714,0.9831860717199652,0.0,0.45,1.2
43,Dijkstra,17,Post-congestion,0.571550506526458,542.3214817077824,4,0.6630193303664342,8.726586966012384,0.5421980316103456,0.9582986316105389,0.0,0.45,1.2
43,Dijkstra,18,Post-congestion,0.5846105001340866,544.496106909693,4,0.6622888919102794,8.674137452069601,0.5511770328379589,0.9565354440912038,0.0,0.45,1.2
43,Dijkstra,19,Post-congestion,0.6097812709535929,532.440000988459,4,0.6628563542894872,8.640831324006953,0.5564452543661897,0.9642366852179107,0.0,0.45,1.2
43,Dijkstra,20,Recovery,0.5599157576243508,452.5054803460321,4,0.6380740706215234,9.99842015806957,0.5959267819360035,0.8652917964091436,0.0,0.45,1.2
43,Dijkstra,21,Recovery,0.5323230602946957,402.2450863101288,4,0.5987483607314724,11.555277049130579,0.6325252968855114,0.7666230511257872,0.0,0.45,1.2
43,Dijkstra,22,Recovery,0.5401844207044774,365.8041535091316,4,0.5622055927209186,13.53556713331151,0.6565732013404584,0.6458401602825838,0.0,0.45,1.2
43,Dijkstra,23,Stable,0.5168991229593403,361.7111851713555,4,0.5657764548222375,13.993875246133008,0.658441058155514,0.6437120654527156,0.0,0.45,1.2
43,Dijkstra,24,Stable,0.47261258379742366,368.5173416560578,4,0.5568459856793897,14.341005706284806,0.6566471005061032,0.6184408129631161,0.0,0.45,1.2
43,Dijkstra,25,Stable,0.4866334069989754,368.5716794454424,4,0.5579412527768282,14.081293834859512,0.6602464579865912,0.6227657806984865,0.0,0.45,1.2
43,Dijkstra,26,Stable,0.5001812728878776,365.0678366154797,4,0.5584825183571157,14.207902251098064,0.6688224695921101,0.6449723221187618,0.0,0.45,1.2
43,Dijkstra,27,Stable,0.5057246930288146,369.95870787431755,4,0.5628053865406177,14.239085797368189,0.6673610636985109,0.6308672736963059,0.0,0.45,1.2
43,Dijkstra,28,Stable,0.5391519424644644,365.6123048657982,4,0.5604845429215951,14.085878848964231,0.6590075577358374,0.6300650943881094,0.0,0.45,1.2
43,Dijkstra,29,Stable,0.5332535308384052,363.74294236164786,4,0.5571590089783635,14.242886454620681,0.6629010360602701,0.6213823741050437,0.0,0.45,1.2
43,Dijkstra,30,Stable,0.5381344962804748,366.5801517613803,4,0.5552340059546161,14.470930430485595,0.6612568544134841,0.6246031450350482,0.0,0.45,1.2
43,Dijkstra,31,Stable,0.5173419865078754,360.2462157675339,4,0.5535284455028923,14.23337635633333,0.661789288885017,0.6305053840822283,0.0,0.45,1.2
43,Dijkstra,32,Stable,0.5091257919051515,361.39462913740283,4,0.5488996689800842,14.074908313589498,0.6572341435067608,0.6167694437000206,0.0,0.45,1.2
43,Dijkstra,33,Stable,0.493315405757927,356.4465751692771,4,0.5569088546398944,14.420113972007249,0.6527380039184749,0.5985004790001452,0.0,0.45,1.2
43,Dijkstra,34,Stable,0.48311963883068065,360.40356265365006,4,0.5492782887430018,14.537941468601723,0.6554716698881254,0.6119332366717204,0.0,0.45,1.2
43,Dijkstra,35,Stable,0.48950361801771325,355.5156743948161,4,0.5544397317708165,14.308005340103072,0.6531093886935377,0.6308841168392243,0.0,0.45,1.2
43,Dijkstra,36,Stable,0.4795230941284748,353.72523214428224,4,0.5579237055419852,14.214792821230455,0.6582162647385204,0.6046346073437917,0.0,0.45,1.2
43,Dijkstra,37,Stable,0.4685632702640449,350.57202936004774,4,0.5707917667497332,14.201193692851646,0.6541895921545225,0.5964727410732833,0.0,0.45,1.2
43,Dijkstra,38,Stable,0.46190985406723956,354.88346730182616,4,0.5670844618727323,14.539825442631098,0.6491745136261876,0.5869224433330444,0.0,0.45,1.2
43,Dijkstra,39,Stable,0.47552267351145505,368.22605350644255,4,0.5701119594103778,14.629876941271544,0.6511183166114977,0.5986866262469406,0.0,0.45,1.2
43,QT-APP,0,Normal,0.47323895428011803,278.72413707247574,6,0.30135334625872834,56.38500941003408,0.8721708497926409,0.31822202093423363,0.08125133903777344,0.47,1.19
43,QT-APP,1,Normal,0.43947073006015613,290.00354978360804,6,0.32652457341548824,73.02354063452445,0.8929645603056985,0.3465225125613121,0.23926554326783725,0.49,1.18
43,QT-APP,2,Normal,0.5577735497089288,192.95582311217123,4,0.2852156539408136,63.41930020694733,0.8267556776579716,0.45872595059355065,0.13909414250831587,0.56,1.13
43,QT-APP,3,Normal,0.5627580508910099,194.53194125458415,4,0.27855950798877394,63.86461151805974,0.8219743109884794,0.45034282338065557,0.21364293725128647,0.6000000000000001,1.0999999999999999
43,QT-APP,4,Normal,0.5058193079563552,234.89771758435637,5,0.3714766273822292,45.22201886917931,0.8428354489274307,0.25708077098620896,0.5591470017157963,0.6200000000000001,1.0899999999999999
43,QT-APP,5,Normal,0.4714285412995626,277.7914818827783,5,0.31350508788388454,76.4488522021262,0.861730027636287,0.31126344914916754,0.5828121957135006,0.6100000000000001,1.0999999999999999
43,QT-APP,6,Normal,0.5151216081819376,248.008744353171,5,0.416348459259565,56.1164150165432,0.8160272447379071,0.2870516467172746,0.572107709182337,0.6800000000000002,1.0499999999999998
